Mass,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-50kg,18,49,0,0,0,0,0
50-100kg,1,6,0,0,0,0,0
100-150kg,3,2,0,0,0,0,0
150-200kg,0,0,0,0,0,0,0
200-250kg,0,0,1,0,1,0,0
250-300kg,0,1,0,0,2,0,0
300-350kg,0,0,0,0,1,0,0
350-400kg,0,0,0,0,0,0,0
400-450kg,0,0,0,0,0,0,0
450-500kg,1,0,0,0,1,0,0
500-550kg,0,0,0,0,0,0,0
550-600kg,0,0,0,0,2,0,0
600-650kg,0,0,0,0,2,0,0
650-700kg,0,0,0,0,0,0,0
700-750kg,0,0,0,0,1,0,0
750-800kg,0,0,0,0,0,0,0
800-850kg,0,0,0,0,0,0,0
850-900kg,0,0,0,0,0,0,0
900-950kg,0,0,0,0,0,0,0
950-1000kg,0,0,0,0,0,0,0
