Payload_Mass,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-10kg,2,2,0,0,0,0,0
10-20kg,1,0,0,0,0,0,0
20-30kg,2,0,0,0,0,0,0
30-40kg,1,0,0,0,0,0,0
40-50kg,2,0,0,0,0,0,0
50-60kg,0,2,0,0,0,0,0
60-70kg,1,1,0,0,0,0,0
70-80kg,0,1,0,0,0,0,0
80-90kg,2,1,0,0,0,0,0
90-100kg,4,1,0,0,0,0,0
100-110kg,4,0,0,0,0,0,0
110-120kg,5,3,0,0,0,0,0
120-130kg,1,0,0,0,0,0,0
130-140kg,2,5,0,0,0,0,0
140-150kg,1,7,0,0,0,0,0
150-160kg,1,1,0,0,0,0,0
160-170kg,1,0,0,0,0,0,0
170-180kg,2,0,0,0,0,0,0
180-190kg,0,0,0,0,0,0,0
190-200kg,0,0,0,0,0,0,0
200-210kg,0,0,0,0,0,0,0
210-220kg,0,0,0,0,0,0,0
220-230kg,1,0,0,0,0,0,0
230-240kg,0,0,0,0,0,0,0
240-250kg,0,0,0,0,0,0,0
250-260kg,0,0,0,0,0,0,0
260-270kg,0,0,0,0,0,0,0
270-280kg,0,0,0,0,0,0,0
280-290kg,0,0,0,0,0,0,0
290-300kg,0,0,0,0,0,0,1
