Mass_Range,LEO,SSO,MEO,GTO,GEO,HEO,BEO
0-10kg,16.0,20.0,0.0,0.0,0.0,0.0,0.0
10-20kg,20.0,0.0,0.0,0.0,0.0,0.0,0.0
20-30kg,47.4,0.0,0.0,0.0,0.0,0.0,0.0
30-40kg,40.0,0.0,0.0,0.0,0.0,0.0,0.0
40-50kg,99.66,0.0,0.0,0.0,0.0,0.0,0.0
50-60kg,0.0,105.316,0.0,0.0,0.0,0.0,0.0
60-70kg,66.0,61.815999999999995,0.0,0.0,0.0,0.0,0.0
70-80kg,0.0,77.75,0.0,0.0,0.0,0.0,0.0
80-90kg,173.0,86.3,0.0,0.0,0.0,0.0,0.0
90-100kg,393.0,100.0,0.0,0.0,0.0,0.0,0.0
100-110kg,440.0,0.0,0.0,0.0,0.0,0.0,0.0
110-120kg,595.0,354.1,0.0,0.0,0.0,0.0,0.0
120-130kg,130.0,0.0,0.0,0.0,0.0,0.0,0.0
130-140kg,276.0,700.0,0.0,0.0,0.0,0.0,0.0
140-150kg,150.0,1050.0,0.0,0.0,0.0,0.0,0.0
150-160kg,160.0,156.5,0.0,0.0,0.0,0.0,0.0
160-170kg,161.0,0.0,0.0,0.0,0.0,0.0,0.0
170-180kg,360.0,0.0,0.0,0.0,0.0,0.0,0.0
180-190kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190-200kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200-210kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210-220kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220-230kg,224.0,0.0,0.0,0.0,0.0,0.0,0.0
230-240kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240-250kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250-260kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260-270kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270-280kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280-290kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290-300kg,0.0,0.0,0.0,0.0,0.0,0.0,300.0
