Mass_Range,LC40,SLC4E,LC39A
0-1t,3.422,5.3125,0.33
1-2t,22.010716,10.8429,7.639
2-3t,17.983781999999998,22.09739,7.986
3-4t,59.564,28.723558,30.1
4-5t,122.58472400000001,13.2986,5.0
5-6t,112.51219999999999,5.5,59.292
6-7t,64.622,19.368,25.931
7-8t,82.200225,7.2,0.0
8-9t,0.0,77.4,0.0
9-10t,10.0,10.0,10.0
10-11t,20.94,21.9,305.11494
11-12t,0.0,0.0,11.87
12-13t,0.0,12.525,0.0
13-14t,68.394,247.924,27.602
14-15t,28.286,163.425,44.036
15-16t,546.746,419.283,249.663
16-17t,1577.335,534.845,315.675
17-18t,313.02,316.66,17.52
18-19t,420.55,54.96,91.51
