Launch_Year,Soyuz,Antares 110,Dnepr,Antares 120,Falcon 9,H2,Atlas 5,PSLV,Minotaur,Electron,Vega
2013,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,47.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,10.0,0.0,0.0
2018,12.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,0.0,1.0,0.0
2014,0.0,0.0,11.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,16.0,12.0,12.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,26.0
2021,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0
