Launch_Year,Starlink,Commercial,Chinese Commercial,Government,Eastern Government,Military,Eastern Military
1957,0,0,0,0,2,0,0
1958,0,0,0,0,5,0,0
1959,0,0,0,0,4,0,0
1960,0,0,0,0,7,0,0
1961,0,0,0,0,5,0,0
1962,0,0,0,0,3,0,5
1963,0,0,0,0,4,0,8
1964,0,0,0,0,4,0,14
1965,0,0,0,0,3,0,20
1966,0,0,0,0,5,0,24
1967,0,0,0,0,7,0,25
1968,0,0,0,0,6,0,30
1969,0,0,0,0,6,0,34
1970,0,0,0,0,4,0,33
1971,0,0,0,0,8,0,33
1972,0,0,0,0,3,0,34
1973,0,0,0,0,6,0,38
1974,0,0,0,0,10,0,35
1975,0,0,0,0,9,0,38
1976,0,0,0,0,5,0,39
1977,0,0,0,0,10,0,36
1978,0,0,0,0,13,0,37
1979,0,0,0,0,24,0,31
1980,0,0,0,0,20,0,32
1981,0,0,0,0,13,0,35
1982,0,0,0,0,16,0,34
1983,0,0,0,0,16,0,31
1984,0,0,0,0,11,0,33
1985,0,0,0,0,11,0,30
1986,0,0,0,0,10,0,27
1987,0,0,0,0,16,0,28
1988,0,0,0,0,20,0,27
1989,0,0,0,0,12,0,26
1990,0,0,0,0,15,0,17
1991,0,0,0,0,13,0,12
1992,0,0,0,0,13,0,11
1993,0,0,0,0,11,0,6
1994,0,0,0,0,9,0,6
1995,0,0,0,0,9,0,3
1996,0,0,0,0,8,0,1
1997,0,0,0,0,8,0,2
1998,0,0,0,0,6,0,2
1999,0,6,0,0,5,0,1
2000,0,4,0,0,7,0,2
2001,0,0,0,0,8,0,1
2002,0,0,0,0,6,0,1
2003,0,2,0,0,5,0,1
2004,0,0,0,0,7,0,1
2005,0,3,0,0,7,0,1
2006,0,2,0,0,6,0,3
2007,0,2,0,0,8,0,1
2008,0,1,0,0,6,0,2
2009,0,0,0,0,10,0,3
2010,0,1,0,0,9,0,2
2011,0,3,0,0,10,1,5
2012,0,2,0,0,10,0,2
2013,0,3,0,0,10,0,3
2014,0,4,0,0,12,0,6
2015,0,3,0,0,9,0,5
2016,0,2,0,0,9,0,3
2017,0,2,0,0,9,0,4
2018,0,2,0,0,9,1,4
2019,0,2,0,0,9,1,6
2020,0,3,0,0,6,2,4
2021,0,9,0,0,9,0,4
2022,0,1,0,0,7,0,11
2023,0,0,0,0,10,0,7
2024,0,0,0,0,11,0,4
2025,0,0,0,0,7,0,3
