Launch_Date,LC40,LC39A,SLC4E
2019-05-24,53.0,,
2019-11-11,53.01,,
2020-01-07,53.0,,
2020-01-29,53.0,,
2020-02-17,53.0,,
2020-03-18,,53.0,
2020-04-22,,53.01,
2020-06-04,53.0,,
2020-06-13,53.0,,
2020-08-07,,53.01,
2020-08-18,53.0,,
2020-09-03,,53.0,
2020-10-06,,52.99,
2020-10-18,,53.05,
2020-10-24,53.05,,
2020-11-25,53.05,,
2021-01-20,,53.05,
2021-02-04,53.05,,
2021-02-16,53.05,,
2021-03-04,,53.05,
2021-03-11,53.05,,
2021-03-14,,53.05,
2021-03-24,53.05,,
2021-04-07,53.05,,
2021-04-29,53.05,,
2021-05-04,,53.05,
2021-05-09,53.05,,
2021-05-15,,53.04,
2021-05-26,53.05,,
2021-09-14,,,70.0
2021-11-13,53.22,,
2021-12-02,53.22,,
2021-12-18,,,53.22
2022-01-06,,53.22,
2022-01-19,,53.23,
2022-02-03,,53.22,
2022-02-21,53.22,,
2022-02-25,,,53.22
2022-03-03,,53.22,
2022-03-09,53.22,,
2022-03-19,53.22,,
2022-04-21,53.22,,
2022-04-29,53.21,,
2022-05-06,,53.21,
2022-05-13,,,53.22
2022-05-14,53.22,,
2022-05-18,,53.21,
2022-06-17,,53.22,
2022-07-07,53.22,,
2022-07-11,,,97.67
2022-07-17,53.22,,
2022-07-22,,,97.67
2022-07-24,,53.22,
2022-08-10,,53.22,
2022-08-12,,,97.67
2022-08-19,53.22,,
2022-08-28,53.22,,
2022-08-31,,,97.66
2022-09-05,53.21,,
2022-09-11,,53.2,
2022-09-19,53.22,,
2022-09-24,53.23,,
2022-10-05,,,53.22
2022-10-20,53.22,,
2022-10-28,,,53.22
2022-12-17,,53.22,
2022-12-28,43.0,,
2023-01-19,,,70.0
2023-01-26,43.0,,
2023-01-31,,,70.0
2023-02-02,,42.98,
2023-02-12,43.0,,
2023-02-17,,,70.0
2023-02-27,43.01,,
2023-03-03,,,70.0
2023-03-17,,,70.0
2023-03-24,43.0,,
2023-03-29,43.0,,
2023-04-19,43.0,,
2023-04-27,,,97.67
2023-05-04,43.01,,
2023-05-10,,,70.0
2023-05-14,43.01,,
2023-05-19,43.0,,
2023-05-31,,,70.01
2023-06-04,43.01,,
2023-06-12,43.0,,
2023-06-22,,,43.0
2023-06-23,43.0,,
2023-07-07,,,43.0
2023-07-10,43.01,,
2023-07-16,43.01,,
2023-07-20,,,43.0
2023-07-24,43.0,,
2023-07-28,43.01,,
2023-08-07,43.0,,
2023-08-08,,,43.0
2023-08-11,43.0,,
2023-08-17,43.0,,
2023-08-22,,,53.05
2023-08-27,43.0,,
2023-09-01,43.0,,
2023-09-04,,43.0,
2023-09-09,43.0,,
2023-09-12,,,53.06
2023-09-16,43.0,,
2023-09-20,43.0,,
2023-09-24,43.0,,
2023-09-25,,,53.06
2023-09-30,43.0,,
2023-10-05,43.0,,
2023-10-09,,,53.06
2023-10-13,43.0,,
2023-10-18,43.0,,
2023-10-21,,,53.06
2023-10-22,43.01,,
2023-10-29,,,53.06
2023-10-30,43.01,,
2023-11-04,43.01,,
2023-11-08,43.01,,
2023-11-18,43.01,,
2023-11-20,,,53.06
2023-11-22,43.01,,
2023-11-28,43.01,,
2023-12-03,43.01,,
2023-12-07,43.01,,
2023-12-08,,,53.17
2023-12-19,43.01,,
2023-12-23,43.01,,
2023-12-29,43.0,,
2024-01-03,,,53.17
2024-01-07,43.01,,
2024-01-14,,,53.17
2024-01-15,43.01,,
2024-01-24,,,53.17
2024-01-29,,43.01,53.17
2024-02-10,,,53.17
2024-02-15,,,53.17
2024-02-23,,,53.17
2024-02-25,43.01,,
2024-02-29,43.01,,
2024-03-04,43.01,,
2024-03-10,43.01,,
2024-03-11,,,53.17
2024-03-16,,43.01,
2024-03-19,,,53.17
2024-03-24,,43.01,
2024-03-25,43.01,,
2024-03-31,43.01,,
2024-04-02,,,53.17
2024-04-05,43.01,,
2024-04-07,,,53.18
2024-04-10,43.01,,
2024-04-13,43.01,,
2024-04-17,,43.01,
2024-04-18,43.01,,
2024-04-23,43.01,,
2024-04-28,43.01,,
2024-05-03,43.01,,
2024-05-06,43.01,,
2024-05-08,,43.01,
2024-05-10,,,53.17
2024-05-13,43.01,,
2024-05-14,,,53.17
2024-05-18,43.01,,
2024-05-23,43.01,,
2024-05-24,,43.01,
2024-05-28,43.01,,
2024-06-01,43.01,,
2024-06-05,53.15,,
2024-06-08,53.15,,53.17
2024-06-19,,,53.17
2024-06-23,53.15,,
2024-06-24,,,53.17
2024-06-27,53.16,,
2024-07-03,53.16,,
2024-07-12,,,53.17
2024-07-27,,53.16,
2024-07-28,53.16,,53.17
2024-08-02,,53.16,
2024-08-04,,,53.17
2024-08-10,53.16,,
2024-08-12,,53.16,
2024-08-20,53.16,,
2024-08-28,53.16,,
2024-08-31,53.16,,53.17
2024-09-05,53.16,,
2024-09-13,,,53.17
2024-09-20,,,53.17
2024-09-25,,,53.17
2024-10-15,53.16,,53.17
2024-10-18,53.16,,
2024-10-23,43.01,,
2024-10-26,53.16,,
2024-10-30,53.16,,53.17
2024-11-07,43.01,,
2024-11-09,,,53.17
2024-11-11,43.01,,
2024-11-14,43.01,,53.17
2024-11-18,,,53.17
2024-11-21,43.01,,
2024-11-24,,,53.17
2024-11-25,43.01,,
2024-11-27,,43.01,
2024-11-30,43.01,,
2024-12-04,43.01,,
2024-12-05,,,53.17
2024-12-08,43.01,,
2024-12-13,,,53.17
2024-12-23,,43.01,
2024-12-29,,,53.17
2024-12-31,,43.0,
2025-01-06,43.01,,
2025-01-08,,43.01,
2025-01-10,43.01,,
2025-01-13,43.01,,
2025-01-21,,43.01,53.16
2025-01-24,,,53.15
2025-01-27,43.0,,
2025-02-01,,,53.15
2025-02-04,43.0,,
2025-02-08,43.01,,
2025-02-11,43.01,,53.15
2025-02-15,43.01,,
2025-02-18,53.17,,
2025-02-21,43.0,,
2025-02-23,,,70.0
2025-02-27,43.01,,
2025-03-03,43.01,,
2025-03-13,43.01,,
2025-03-15,43.0,,
2025-03-18,43.01,,
2025-03-26,,,53.16
2025-03-31,43.0,,
2025-04-04,,,53.16
2025-04-06,43.0,,
2025-04-07,,,53.16
2025-04-13,,43.01,
2025-04-14,43.0,,
2025-04-25,43.0,,
2025-04-28,43.01,,53.16
2025-04-29,,43.01,
2025-05-02,43.0,,
2025-05-04,,43.0,
2025-05-07,43.0,,
2025-05-10,43.0,,70.0
2025-05-13,,43.0,70.0
2025-05-14,43.0,,
2025-05-16,,,69.99
2025-05-21,43.01,,
2025-05-23,,,53.16
2025-05-24,43.01,,
2025-05-27,,,97.6
2025-05-28,,53.16,
2025-05-31,,,53.16
2025-06-03,43.01,,
2025-06-04,,,53.16
