Launch_Year,Titan 2,Titan 3,Titan 4
1964,1,2,0
1965,6,5,0
1966,5,6,0
1967,0,10,0
1968,0,10,0
1969,0,8,0
1970,0,7,0
1971,0,8,0
1972,0,9,0
1973,0,9,0
1974,0,8,0
1975,0,9,0
1976,0,9,0
1977,0,7,0
1978,0,7,0
1979,0,5,0
1980,0,3,0
1981,0,5,0
1982,0,5,0
1983,0,3,0
1984,0,7,0
1985,0,2,0
1986,0,1,0
1987,0,3,0
1988,1,2,0
1989,1,2,1
1990,0,3,2
1991,0,0,2
1992,1,1,1
1993,1,0,1
1994,1,0,4
1995,0,0,4
1996,0,0,4
1997,1,0,4
1998,1,0,2
1999,2,0,3
2000,1,0,2
2001,0,0,3
2002,1,0,1
2003,2,0,2
2004,0,0,1
2005,0,0,2
