Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
2018-017,2458156.36,2018-02-06,Falcon Heavy,-,001/B1033.1,Tesla Roadster,Tesla Roadster,"B1023.2,B1025.2",-,KSC,LC39A,-,-,6939.0, ,    -, ,-,1.0,SPX,DS,-,C,Sat EEO E,Wire,-,-,BEO,Falcon9,Falcon Heavy,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",1000.0,2018-02-07,180.0,29.02,MEO,Tech Demo,B,Commercial
2019-021,2458585.44,2019-04-11,Falcon Heavy,-,002/B1055.1,Arabsat 6A,Arabsat 6A,"B1052.1,B1053.1",-,KSC,LC39A,-,-,90079.0, ,    -, ,-,6.465,SPX,OS,-,C,Sat STO O,Wire,-,-,GTO,Falcon9,Falcon Heavy,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",6465.0,2019-04-13,2400.0,18.05,VHEO,Communications,B,Commercial
2019-036,2458659.77,2019-06-25,Falcon Heavy,-,003/B1057.1,STP-2,STP-2,"B1052.2,B1053.2",-,KSC,LC39A,-,-,725.0, ,    -, ,-,3.491,SPX,OS,-,CX/G,Sat MEO O,Wire,-,-,MEO,Falcon9,Falcon Heavy,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",2847.82,2019-06-25,705.0,24.0,LEO/E,Tech Demo,A,Government
2022-144,2459885.07,2022-11-01,Falcon Heavy,-,004/B1066.1,USSF-44,LDPE-2,"B1064.1,B1065.1",-,KSC,LC39A,-,-,35686.0, ,    -, ,-,1.443,SPX,OS,-,CX/G,Sat GEO O,Wire,-,-,GEO,Falcon9,Falcon Heavy,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",1743.0,2024-03-14,35683.0,3.6,GEO/ID,Tech Demo,D,Military
2023-008,2459960.46,2023-01-15,Falcon Heavy,-,005/B1070.1,USSF-67,CBAS-2/LDPE-3A,"B1064.2,B1065.2",-,KSC,LC39A,-,-,35786.0, ,    -, ,-,3.7,SPX,OS,-,CX/G,Sat GEO O,Wire,-,-,GEO,Falcon9,Falcon Heavy,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",3700.0,2023-03-26,35785.0,0.03,GEO/S,COM*,D,Military
2023-060,2460065.52,2023-05-01,Falcon Heavy,-,006/B1068.1,Viasat-3.1,Viasat-3.1/Arcturus,"B1052.8,B1053.3",-,KSC,LC39A,-,-,35793.0, ,    -, ,-,6.84,SPX,OS,-,C,Sat GEO O,Wire,-,-,GEO,Falcon9,Falcon Heavy,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",6840.0,2023-07-01,35779.0,0.08,GEO/S,Communications,B,Commercial
2023-108,2460154.63,2023-07-29,Falcon Heavy,-,007/B1074.1,Jupiter 3,Jupiter 3/Echostar 24,"B1064.3,B1065.3",-,KSC,LC39A,-,-,35790.0, ,    -, ,-,9.2,SPX,OS,-,C,Sat GEO O,Wire,-,-,GEO,Falcon9,Falcon Heavy,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",9200.0,2023-09-27,35782.0,0.01,GEO/S,Communications,B,Commercial
2023-157,2460231.1,2023-10-13,Falcon Heavy,-,008/B1079.1,Psyche,Psyche,"B1064.4,B1065.4",-,KSC,LC39A,-,-,-36991.0, ,    -, ,-,2.768,SPX,DS,-,CX/G,Sat EEO E,Wire,-,-,BEO,Falcon9,Falcon Heavy,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",2608.0,2023-10-13,794.0,30.1,EEO,Other,C,Government
2023-210,2460307.55,2023-12-29,Falcon Heavy,-,009/B1084.1,X-37B OTV FLT-7,X-37B No. 2/USSF-52,"B1064.5,B1065.5",-,KSC,LC39A,-,-,38815.0, ,    -, ,-,5.0,SPX,OS,-,CX/G,Sat MEO D,Wire,-,-,MEO,Falcon9,Falcon Heavy,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",5000.0,2024-02-11,343.0,59.16,GTO,TECH*,D,Military
2024-119,2460487.39,2024-06-25,Falcon Heavy,-,010/B1087.1,GOES U,GOES U,"B1072.1,B1086.1",-,KSC,LC39A,-,-,35798.0, ,    -, ,-,5.0,SPX,OS,-,CX/G,Sat GTO O,Wire,-,-,GTO,Falcon9,Falcon Heavy,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",5000.0,2024-08-25,35776.0,0.04,GEO/S,Observation,C,Government
2024-182,2460598.17,2024-10-14,Falcon Heavy,-,011/B1089.1,Europa Clipper,Europa Clipper,"B1064.6,B1065.6",-,KSC,LC39A,-,-,-32541.0, ,    -, ,-,5.7,SPX,DS,-,CX/G,Sat EEO E,SpaceX,-,-,BEO,Falcon9,Falcon Heavy,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",5700.0,2024-10-14,179.0,32.89,EEO,Other,C,Government
